start,end,BOS,CHA,CLE,DET,NYA,PHA,SLA,WS1,BRO,BSN,CHN,CIN,NY1,PHI,PIT,SLN,MLN,BAL,KC1,LAN,SFN,LAA,MIN,WS2,HOU,NYN,CAL,ATL,OAK,KCA,SE1,MON,SDN,MIL,TEX,TOR,SEA,FLO,COL,ANA,TBA,ARI,WAS,MIA
1916,1952,AL,AL,AL,AL,AL,AL,AL,AL,NL,NL,NL,NL,NL,NL,NL,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,1953,AL,AL,AL,AL,AL,AL,AL,AL,NL,,NL,NL,NL,NL,NL,NL,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,1954,AL,AL,AL,AL,AL,AL,,AL,NL,,NL,NL,NL,NL,NL,NL,NL,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,1957,AL,AL,AL,AL,AL,,,AL,NL,,NL,NL,NL,NL,NL,NL,NL,AL,AL,,,,,,,,,,,,,,,,,,,,,,,,,
1958,1960,AL,AL,AL,AL,AL,,,AL,,,NL,NL,,NL,NL,NL,NL,AL,AL,NL,NL,,,,,,,,,,,,,,,,,,,,,,,
1961,1961,AL,AL,AL,AL,AL,,,,,,NL,NL,,NL,NL,NL,NL,AL,AL,NL,NL,AL,AL,AL,,,,,,,,,,,,,,,,,,,,
1962,1964,AL,AL,AL,AL,AL,,,,,,NL,NL,,NL,NL,NL,NL,AL,AL,NL,NL,AL,AL,AL,NL,NL,,,,,,,,,,,,,,,,,,
1965,1965,AL,AL,AL,AL,AL,,,,,,NL,NL,,NL,NL,NL,NL,AL,AL,NL,NL,,AL,AL,NL,NL,AL,,,,,,,,,,,,,,,,,
1966,1967,AL,AL,AL,AL,AL,,,,,,NL,NL,,NL,NL,NL,,AL,AL,NL,NL,,AL,AL,NL,NL,AL,NL,,,,,,,,,,,,,,,,
1968,1968,AL,AL,AL,AL,AL,,,,,,NL,NL,,NL,NL,NL,,AL,,NL,NL,,AL,AL,NL,NL,AL,NL,AL,,,,,,,,,,,,,,,
1969,1969,AL_E,AL_W,AL_E,AL_E,AL_E,,,,,,NL_E,NL_W,,NL_E,NL_E,NL_E,,AL_E,,NL_W,NL_W,,AL_W,AL_E,NL_W,NL_E,AL_W,NL_W,AL_W,AL_W,AL_W,NL_E,NL_W,,,,,,,,,,,
1970,1971,AL_E,AL_W,AL_E,AL_E,AL_E,,,,,,NL_E,NL_W,,NL_E,NL_E,NL_E,,AL_E,,NL_W,NL_W,,AL_W,AL_E,NL_W,NL_E,AL_W,NL_W,AL_W,AL_W,,NL_E,NL_W,AL_W,,,,,,,,,,
1972,1976,AL_E,AL_W,AL_E,AL_E,AL_E,,,,,,NL_E,NL_W,,NL_E,NL_E,NL_E,,AL_E,,NL_W,NL_W,,AL_W,,NL_W,NL_E,AL_W,NL_W,AL_W,AL_W,,NL_E,NL_W,AL_E,AL_W,,,,,,,,,
1977,1992,AL_E,AL_W,AL_E,AL_E,AL_E,,,,,,NL_E,NL_W,,NL_E,NL_E,NL_E,,AL_E,,NL_W,NL_W,,AL_W,,NL_W,NL_E,AL_W,NL_W,AL_W,AL_W,,NL_E,NL_W,AL_E,AL_W,AL_E,AL_W,,,,,,,
1993,1993,AL_E,AL_W,AL_E,AL_E,AL_E,,,,,,NL_E,NL_W,,NL_E,NL_E,NL_E,,AL_E,,NL_W,NL_W,,AL_W,,NL_W,NL_E,AL_W,NL_W,AL_W,AL_W,,NL_E,NL_W,AL_E,AL_W,AL_E,AL_W,NL_E,NL_W,,,,,
1994,1996,AL_E,AL_C,AL_C,AL_E,AL_E,,,,,,NL_C,NL_C,,NL_E,NL_C,NL_C,,AL_E,,NL_W,NL_W,,AL_C,,NL_C,NL_E,AL_W,NL_E,AL_W,AL_C,,NL_E,NL_W,AL_C,AL_W,AL_E,AL_W,NL_E,NL_W,,,,,
1997,1997,AL_E,AL_C,AL_C,AL_E,AL_E,,,,,,NL_C,NL_C,,NL_E,NL_C,NL_C,,AL_E,,NL_W,NL_W,,AL_C,,NL_C,NL_E,,NL_E,AL_W,AL_C,,NL_E,NL_W,AL_C,AL_W,AL_E,AL_W,NL_E,NL_W,AL_W,,,,
1998,2004,AL_E,AL_C,AL_C,AL_C,AL_E,,,,,,NL_C,NL_C,,NL_E,NL_C,NL_C,,AL_E,,NL_W,NL_W,,AL_C,,NL_C,NL_E,,NL_E,AL_W,AL_C,,NL_E,NL_W,NL_C,AL_W,AL_E,AL_W,NL_E,NL_W,AL_W,AL_E,NL_W,,
2005,2011,AL_E,AL_C,AL_C,AL_C,AL_E,,,,,,NL_C,NL_C,,NL_E,NL_C,NL_C,,AL_E,,NL_W,NL_W,,AL_C,,NL_C,NL_E,,NL_E,AL_W,AL_C,,,NL_W,NL_C,AL_W,AL_E,AL_W,NL_E,NL_W,AL_W,AL_E,NL_W,NL_E,
2012,2012,AL_E,AL_C,AL_C,AL_C,AL_E,,,,,,NL_C,NL_C,,NL_E,NL_C,NL_C,,AL_E,,NL_W,NL_W,,AL_C,,NL_C,NL_E,,NL_E,AL_W,AL_C,,,NL_W,NL_C,AL_W,AL_E,AL_W,,NL_W,AL_W,AL_E,NL_W,NL_E,NL_E
2013,3000,AL_E,AL_C,AL_C,AL_C,AL_E,,,,,,NL_C,NL_C,,NL_E,NL_C,NL_C,,AL_E,,NL_W,NL_W,,AL_C,,AL_W,NL_E,,NL_E,AL_W,AL_C,,,NL_W,NL_C,AL_W,AL_E,AL_W,,NL_W,AL_W,AL_E,NL_W,NL_E,NL_E